,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,Marzuq,14.4,46.4667,77.04,50,100,6.11,YE,1659153409
282,Ashtabula,41.7001,-80.7665,68.67,85,62,5.41,US,1659153249
283,Buchanan,5.8808,-10.0467,73.81,78,100,6.85,LR,1659153412
284,Muleba,-1.8397,31.6544,68.72,66,83,3.04,TZ,1659153413
285,Kouqian,43.6391,126.4578,81.52,77,92,13.18,CN,1659153415
286,La Fria,8.2203,-72.2439,80.71,92,99,3.56,VE,1659153416
287,Imeni Poliny Osipenko,52.4201,136.4853,68.97,93,100,9.17,RU,1659153418
288,Athabasca,54.7169,-113.2854,70.21,74,36,3.2,CA,1659153419
289,Hamilton,39.1834,-84.5333,68.02,81,0,0.0,US,1659153142
290,Muhafazat Lahij,13.1667,44.5833,83.7,60,100,9.31,YE,1659153422
291,Christchurch,-43.5333,172.6333,48.9,83,75,4.61,NZ,1659153201
292,Yangcun,39.3639,117.0603,82.0,58,25,3.6,CN,1659153426
293,Palmas,-10.2128,-48.3603,71.47,60,0,2.3,BR,1659153427
294,Bambous Virieux,-20.3428,57.7575,71.22,73,75,11.5,MU,1659153428
295,Pangnirtung,66.1451,-65.7125,53.53,79,100,6.31,CA,1659153430
296,Sturgis,41.7992,-85.4192,61.05,94,0,0.0,US,1659153431
297,Taoudenni,22.6783,-3.9836,95.18,32,74,12.53,ML,1659153433
298,Piste,20.7,-88.5833,74.82,88,100,4.43,MX,1659153434
299,Paamiut,61.994,-49.6678,45.48,83,73,6.85,GL,1659153436
300,Port Elizabeth,-33.918,25.5701,54.32,87,20,13.8,ZA,1659153437
301,Salihorsk,52.7876,27.5415,57.06,84,100,5.46,BY,1659153439
302,Den Helder,52.9599,4.7593,62.58,88,2,5.01,NL,1659153143
303,Shelburne,44.0787,-80.2041,61.25,84,45,9.78,CA,1659153441
304,North Bend,43.4065,-124.2243,65.25,95,100,12.66,US,1659153300
305,Tilichiki,60.4667,166.1,51.53,91,100,28.92,RU,1659153444
306,Touros,-5.1989,-35.4608,75.18,87,55,7.18,BR,1659153445
307,Margate,51.3813,1.3862,63.9,89,63,3.0,GB,1659153447
308,Puerto Nariño,-3.7703,-70.3831,72.34,96,52,1.86,CO,1659153448
309,Karratha,-20.7377,116.8463,79.99,29,18,9.55,AU,1659153450
310,Lüderitz,-26.6481,15.1594,53.17,75,12,7.74,NA,1659153451
311,Middle Island,40.8843,-72.9373,77.81,85,81,7.76,US,1659153453
312,Acapulco de Juárez,16.8634,-99.8901,79.7,83,79,2.82,MX,1659153454
313,Xichang,27.8964,102.2634,79.59,66,86,2.08,CN,1659153455
314,Ribeira Grande,38.5167,-28.7,72.9,74,4,1.43,PT,1659153457
315,Lavrentiya,65.5833,-171.0,47.95,75,100,8.43,RU,1659153458
316,Namatanai,-3.6667,152.4333,84.97,57,43,8.08,PG,1659153460
317,Casper,42.8666,-106.3131,72.72,30,18,5.01,US,1659153304
318,Itaquaquecetuba,-23.4861,-46.3483,53.98,100,98,3.44,BR,1659153462
319,Qui Nhon,13.7667,109.2333,92.1,56,66,2.68,VN,1659153385
320,Antalaha,-14.9003,50.2788,68.05,87,49,6.44,MG,1659153465
321,East London,-33.0153,27.9116,54.54,87,20,12.66,ZA,1659153466
322,Ust'-Kulom,61.6864,53.6902,71.02,55,33,2.28,RU,1659153468
323,Arrondissement de Mont-de-Marsan,44.0,-0.6667,65.68,85,0,1.14,FR,1659153469
324,Tibati,6.4667,12.6333,64.89,96,100,1.1,CM,1659153471
325,Agadez,19.75,10.25,83.91,13,3,8.97,NE,1659153472
326,Mumford,5.2618,-0.759,72.27,85,91,8.41,GH,1659153474
327,Port Lincoln,-34.7333,135.8667,53.35,64,100,18.34,AU,1659153476
328,Niksar,40.5917,36.9517,65.28,72,0,1.48,TR,1659153478
329,Chui,-33.6971,-53.4616,42.76,82,0,4.43,UY,1659153479
330,Jalpa,21.6333,-102.9667,66.4,87,100,3.04,MX,1659153481
331,Naze,28.3667,129.4833,81.52,84,100,21.03,JP,1659153483
332,Menongue,-14.6585,17.691,48.33,40,7,4.56,AO,1659153485
333,Kroya,-7.6331,109.2461,82.04,71,97,11.45,ID,1659153486
334,Lowestoft,52.4752,1.7516,59.25,90,88,7.94,GB,1659153488
335,Huarmey,-10.0681,-78.1522,62.28,85,14,7.4,PE,1659153489
336,Amapá,1.0,-52.0,71.17,99,99,2.15,BR,1659153491
337,Zhangjiakou,40.81,114.8794,82.04,53,47,10.47,CN,1659153492
338,Nara,34.6851,135.8049,94.32,40,100,2.98,JP,1659153493
339,Lebu,-37.6167,-73.65,47.8,88,100,17.11,CL,1659153496
340,Ust'-Kan,50.9276,84.761,68.34,69,100,1.97,RU,1659153498
341,Tanout,14.9709,8.8879,81.45,53,44,12.97,NE,1659153499
342,Tigre,-34.426,-58.5796,54.25,70,0,3.44,AR,1659153500
343,Biltine,14.5333,20.9167,73.49,83,100,9.22,TD,1659153502
344,Pacific Grove,36.6177,-121.9166,64.22,89,100,6.91,US,1659153207
345,Rockhampton,-23.3833,150.5,71.49,49,75,12.66,AU,1659153437
346,Saint Anthony,45.0205,-93.218,70.32,73,0,3.44,US,1659153506
347,Yamada,39.4667,141.95,81.86,73,96,9.04,JP,1659153507
348,Budišov nad Budišovkou,49.7951,17.6297,61.81,95,82,1.7,CZ,1659153509
349,Plouzané,48.3833,-4.6167,60.98,94,100,4.61,FR,1659153510
350,Richards Bay,-28.783,32.0377,65.48,80,44,3.06,ZA,1659153512
351,Batagay,67.6333,134.6333,77.94,56,36,4.52,RU,1659153513
352,Petropavlovka,50.6114,105.3196,71.19,51,33,4.97,RU,1659153514
353,Karwar,14.8,74.1333,82.04,82,100,8.03,IN,1659153516
354,Fortuna,40.5982,-124.1573,58.98,88,89,5.91,US,1659153518
355,Bairiki Village,1.3292,172.9752,86.0,70,20,12.66,KI,1659153519
356,Longyearbyen,78.2186,15.6401,45.64,97,100,8.66,SJ,1659153520
357,Langarūd,37.197,50.1535,75.25,69,9,1.95,IR,1659153522
358,Padang,-0.9492,100.3543,82.45,95,100,0.94,ID,1659153523
359,Innisfail,-17.5333,146.0333,70.07,74,98,10.02,AU,1659153525
360,Karoi,-16.8099,29.6925,47.16,68,19,3.83,ZW,1659153526
361,Parabel',58.6978,81.4825,67.89,64,47,9.04,RU,1659153528
362,Basqal,40.7552,48.391,71.24,57,0,2.93,AZ,1659153529
363,Ambanja,-13.6833,48.45,67.93,88,91,2.44,MG,1659153531
364,Dhārchula,29.85,80.5333,74.16,93,100,0.67,IN,1659153532
365,Muros,42.7762,-9.0603,67.08,72,3,11.86,ES,1659153533
366,Anito,12.4497,125.2886,87.44,69,100,1.25,PH,1659153535
367,Kargasok,59.0556,80.8572,68.25,59,60,9.4,RU,1659153536
368,Loandjili,-4.7561,11.8578,68.11,94,40,3.44,CG,1659153538
369,Kuragino,53.8975,92.6725,74.37,61,13,5.3,RU,1659153539
370,Vallenar,-28.5708,-70.7581,57.99,73,18,1.68,CL,1659153541
371,Chuncheng,22.1731,111.7886,95.76,51,90,1.86,CN,1659153542
372,Juneau,58.3019,-134.4197,61.21,100,100,2.98,US,1659153503
373,Monte Alegre,-2.0078,-54.0692,76.48,81,87,4.05,BR,1659153545
374,Nizwá,22.9333,57.5333,81.39,69,100,2.55,OM,1659153546
375,Bulgan,48.8125,103.5347,69.12,51,40,5.06,MN,1659153548
376,Sakakah,29.9697,40.2064,85.57,13,2,3.85,SA,1659153549
377,Kalianget,-7.05,113.9333,83.17,66,54,10.67,ID,1659153551
378,Ordzhonīkīdze,52.4411,61.7408,65.03,70,75,14.16,KZ,1659153552
379,Lac du Bonnet,50.2536,-96.0612,59.43,87,4,5.53,CA,1659153553
380,Āstāneh-ye Ashrafīyeh,37.2596,49.9444,75.13,65,0,2.21,IR,1659153555
381,Fernie,49.5,-115.0687,75.29,63,49,4.16,CA,1659153525
382,Anori,-3.7728,-61.6442,75.34,76,71,2.71,BR,1659153558
383,Goundam,16.4145,-3.6708,77.22,71,82,8.46,ML,1659153559
384,Itoman,26.1247,127.6694,89.98,66,75,3.44,JP,1659153560
385,Kozhva,65.1073,57.0459,73.11,67,75,7.38,RU,1659153562
386,Biak,-0.9131,122.8766,78.26,87,99,7.7,ID,1659153563
387,Birao,10.2849,22.7882,67.89,99,87,3.85,CF,1659153565
388,San Patricio,28.017,-97.5169,84.85,74,0,13.89,US,1659153566
389,Aljezur,37.3191,-8.8033,63.75,92,7,7.99,PT,1659153568
390,Khovd,48.0056,91.6419,77.49,25,23,2.1,MN,1659153569
391,Nyurba,63.2842,118.3319,79.41,52,71,5.01,RU,1659153570
392,Uthal,25.8072,66.6219,83.89,75,91,6.46,PK,1659153573
393,Saint George,37.1041,-113.5841,85.5,39,42,4.36,US,1659153574
394,Kirakira,-10.4544,161.9205,83.61,71,63,6.11,SB,1659153576
395,Paraíso,9.8383,-83.8656,66.42,96,78,2.86,CR,1659153578
396,Ambositra,-20.5167,47.25,52.7,92,81,4.76,MG,1659153580
397,Wuwei,37.9281,102.6414,89.55,17,30,15.37,CN,1659153581
398,Sillamäe,59.3997,27.7547,59.68,75,45,14.32,EE,1659153584
399,Mitsamiouli,-11.3847,43.2844,71.89,78,20,4.61,KM,1659153585
400,Onega,63.9061,38.1404,59.61,96,100,3.47,RU,1659153587
401,Coahuayana Viejo,18.7333,-103.6833,78.04,90,96,1.83,MX,1659153588
402,Evensk,61.95,159.2333,52.41,75,63,26.82,RU,1659153442
403,Lakes Entrance,-37.8811,147.981,56.16,43,39,5.66,AU,1659153591
404,Pangkalanbuun,-2.6833,111.6167,74.64,98,100,2.95,ID,1659153592
405,Rongcheng,30.634,117.8517,89.74,64,22,5.08,CN,1659153594
406,Luau,-10.7073,22.2247,55.81,37,8,4.59,AO,1659153595
407,Bubaque,11.2833,-15.8333,78.96,77,96,16.44,GW,1659153598
408,San Policarpo,12.1791,125.5072,86.85,67,100,8.88,PH,1659153599
409,Savé,8.0425,2.486,69.78,98,100,3.42,BJ,1659153601
410,Carutapera,-1.195,-46.02,76.66,88,40,5.37,BR,1659153533
411,Garoowe,8.4054,48.4845,73.58,70,5,23.94,SO,1659153605
412,Malakal,9.5334,31.6605,71.44,93,96,1.99,SS,1659153606
413,Leh,34.1667,77.5833,64.26,53,37,6.22,IN,1659153608
414,Joensuu,62.6012,29.7632,54.09,94,100,6.91,FI,1659153611
415,Kieta,-6.2167,155.6333,84.31,68,83,4.9,PG,1659153612
416,Saint-Joseph,-21.3667,55.6167,66.58,78,25,14.9,RE,1659153615
417,Kamenka,51.3223,42.7678,66.96,71,6,7.74,RU,1659153616
418,Madimba,-10.4,40.3333,67.86,94,71,7.54,TZ,1659153618
419,Mehamn,71.0357,27.8492,53.55,76,78,11.5,NO,1659153438
420,Qaqortoq,60.7167,-46.0333,45.03,87,14,1.01,GL,1659153620
421,Kavieng,-2.5744,150.7967,84.27,67,33,8.59,PG,1659153622
422,Kalengwa,-13.4659,25.0027,47.98,54,3,4.76,ZM,1659153623
423,Nālūt,30.3333,10.85,79.21,41,0,11.92,LY,1659153625
424,Bambuí,-20.0064,-45.9769,63.03,48,34,4.99,BR,1659153628
425,Luanda,-8.8368,13.2343,68.0,94,75,4.61,AO,1659153629
426,Salamiyah,35.0113,37.0532,76.93,46,0,6.2,SY,1659153631
427,Thinadhoo,0.5333,72.9333,80.65,81,100,20.11,MV,1659153632
428,Mossamedes,-15.1961,12.1522,59.9,89,37,4.38,AO,1659153634
429,Barranca,-10.75,-77.7667,60.71,86,59,6.76,PE,1659153635
430,Los Llanos de Aridane,28.6585,-17.9182,69.55,93,100,19.57,ES,1659153637
431,Logansport,40.7545,-86.3567,65.71,88,0,3.44,US,1659153353
432,Pirapozinho,-22.2753,-51.5,48.99,54,0,7.29,BR,1659153641
433,Alyangula,-13.8483,136.4192,77.29,56,26,9.01,AU,1659153642
434,Champerico,14.3,-91.9167,80.17,81,96,3.67,GT,1659153644
435,Tegul'det,57.3064,88.1667,73.71,56,74,5.61,RU,1659153645
436,Tazovsky,67.4667,78.7,60.17,81,40,13.89,RU,1659153647
437,Ürümqi,43.801,87.6005,85.15,27,0,8.95,CN,1659153572
438,Ixtapa,20.7,-105.2,77.23,93,99,2.68,MX,1659153649
439,Kawalu,-7.3817,108.2082,77.32,83,97,2.73,ID,1659153651
440,Beloha,-25.1667,45.05,62.56,77,4,8.93,MG,1659153652
441,Romny,50.751,33.4747,62.64,76,76,3.49,UA,1659153654
442,Meadow Lake,34.8014,-106.5436,70.7,63,98,7.65,US,1659153655
443,Lázaro Cárdenas,17.9583,-102.2,79.32,82,38,2.19,MX,1659153657
444,Bondo,3.8146,23.6866,67.08,97,79,0.47,CD,1659153658
445,Korla,41.7597,86.1469,84.58,25,100,4.03,CN,1659153660
446,Zaysan,47.4667,84.8667,76.57,46,100,7.81,KZ,1659153662
447,Shumskiy,54.8318,99.1328,63.09,87,100,11.12,RU,1659153663
448,Palembang,-2.9167,104.7458,80.69,78,40,8.05,ID,1659153665
449,Te Anau,-45.4167,167.7167,41.11,84,100,3.96,NZ,1659153666
450,Granada,37.25,-3.25,75.29,33,72,5.84,ES,1659153667
451,Loncoche,-39.3667,-72.6333,37.9,98,98,2.68,CL,1659153669
452,Jalu,29.0331,21.5482,79.27,37,0,8.34,LY,1659153670
453,Wundanyi,-3.4019,38.364,56.01,88,54,5.23,KE,1659153672
454,Porto-Novo,6.4965,2.6036,73.36,79,85,6.29,BJ,1659153673
455,Anshun,26.25,105.9333,76.28,73,83,5.88,CN,1659153675
456,Maridi,4.9158,29.4742,66.31,99,100,4.99,SS,1659153677
457,Chorley,53.65,-2.6167,61.92,89,100,1.99,GB,1659153679
458,Luganville,-15.5333,167.1667,79.14,80,99,8.34,VU,1659153680
459,Eyl,7.9803,49.8164,77.2,75,52,22.1,SO,1659153682
460,Nānākuli,21.3906,-158.1547,81.99,67,18,1.5,US,1659153683
461,Concarneau,47.875,-3.9225,59.83,91,15,5.91,FR,1659153685
462,Tungor,53.3808,142.9564,61.48,99,100,10.25,RU,1659153687
463,Dingle,10.9995,122.6711,81.01,84,100,10.27,PH,1659153689
464,Mokhsogollokh,61.4681,128.9203,85.35,41,90,5.57,RU,1659153690
465,Auki,-8.7676,160.7034,84.02,65,91,4.47,SB,1659153692
466,Enshi,30.3,109.4833,88.61,59,33,1.23,CN,1659153693
467,Qasigiannguit,68.8193,-51.1922,46.65,74,100,2.89,GL,1659153694
468,Kamloops,50.6665,-120.3192,83.57,51,4,1.34,CA,1659153661
469,Laas,46.6166,10.7002,55.69,95,37,7.78,IT,1659153697
470,Palana,59.1167,159.9667,51.84,78,95,17.0,RU,1659153698
471,Syamzha,60.0158,41.0614,58.21,81,3,5.23,RU,1659153700
472,Plettenberg Bay,-34.0527,23.3716,53.35,78,100,8.3,ZA,1659153701
473,Toccoa,34.5773,-83.3324,76.93,90,0,0.0,US,1659153703
474,Labuhan,-6.8844,112.2051,82.45,67,87,4.14,ID,1659153704
475,Butterworth,5.3991,100.3638,87.01,75,20,3.44,MY,1659153706
476,Huayang,34.4155,109.9939,77.05,54,7,3.0,CN,1659153707
477,Itaituba,-4.2761,-55.9836,79.74,67,100,1.03,BR,1659153709
478,Mariehamn,60.0973,19.9348,46.26,100,0,3.44,AX,1659153710
479,Jacareacanga,-6.2222,-57.7528,73.74,56,8,1.7,BR,1659153711
480,Constitución,-35.3333,-72.4167,49.32,74,35,5.5,CL,1659153713
481,Broken Hill,-31.95,141.4333,58.62,36,94,14.47,AU,1659153714
482,Alexandria,31.2156,29.9553,75.16,78,0,0.0,EG,1659153586
483,Manavgat,36.7867,31.4431,81.16,55,0,3.2,TR,1659153717
484,Hirara,24.8,125.2833,85.15,73,96,5.95,JP,1659153718
485,Vostok,46.4856,135.8833,79.86,64,85,12.68,RU,1659153720
486,Petropavlovsk-Kamchatskiy,53.0452,158.6483,55.99,100,100,11.18,RU,1659153721
487,Kompaniyivka,48.2511,32.208,66.16,55,47,7.54,UA,1659153723
488,Kafanchan,9.5833,8.3,66.24,96,97,1.34,NG,1659153724
489,Sirte,31.2089,16.5887,79.02,78,0,6.71,LY,1659153726
490,Bossier City,32.516,-93.7321,79.02,88,20,3.44,US,1659153727
491,Seoul,37.5683,126.9778,96.19,41,5,8.97,KR,1659153659
492,Makakilo City,21.3469,-158.0858,80.56,67,19,0.65,US,1659153730
493,São Filipe,14.8961,-24.4956,77.43,79,93,8.37,CV,1659153731
494,São João da Barra,-21.6403,-41.0511,68.94,84,94,12.86,BR,1659153733
495,Anadyr,64.75,177.4833,54.1,71,20,11.18,RU,1659153734
496,Tamboril,19.4854,-70.611,73.69,86,17,6.58,DO,1659153736
497,Hong Gai,20.956,107.0946,89.51,57,91,6.8,VN,1659153737
498,Gbarnga,6.9956,-9.4722,66.27,92,100,2.13,LR,1659153738
499,Lewistown,40.5992,-77.5714,72.34,100,20,0.0,US,1659153646
500,João Câmara,-5.5375,-35.8197,69.84,97,47,5.64,BR,1659153741
501,San Vicente,-26.6167,-54.1333,40.84,95,1,1.59,AR,1659153743
502,Chapais,49.7834,-74.8492,53.96,99,100,6.44,CA,1659153744
503,Alenquer,-1.9417,-54.7383,75.65,79,18,3.29,BR,1659153745
504,Kamariótissa,40.4833,25.4667,76.59,68,0,15.59,GR,1659153747
505,Lundazi,-12.2929,33.1782,52.77,76,9,6.29,ZM,1659153748
506,Porto Walter,-8.2686,-72.7439,73.85,75,56,1.43,BR,1659153750
507,Vanavara,60.34,102.2797,69.06,83,97,2.19,RU,1659153677
508,Pāsighāt,28.0667,95.3333,84.88,82,81,1.81,IN,1659153753
509,Sorong,-0.8833,131.25,82.69,74,59,4.83,ID,1659153754
510,Wuxi,31.5689,120.2886,89.94,60,17,7.05,CN,1659153756
511,Lakatoro,-16.0999,167.4164,78.49,78,100,12.17,VU,1659153757
512,Kalilangan,7.8211,124.7314,77.31,81,94,3.67,PH,1659153758
513,Paran'ga,56.7039,49.4047,66.0,71,100,5.19,RU,1659153760
514,Rovaniemi,66.5,25.7167,51.21,76,75,10.36,FI,1659153705
515,Northam,51.0333,-4.2167,62.26,95,93,7.29,GB,1659153763
516,Guerrero,17.6667,-100.0,67.23,94,100,4.36,MX,1659153764
517,Rimóc,48.0369,19.5301,65.05,87,83,3.11,HU,1659153765
518,Tual,-5.6667,132.75,78.71,86,40,17.25,ID,1659153767
519,Olafsvik,64.8945,-23.7142,48.13,71,28,10.63,IS,1659153768
520,Norton,-17.8833,30.7,44.13,56,3,5.28,ZW,1659153660
521,Atbasar,51.8,68.3333,62.15,91,100,15.12,KZ,1659153771
522,Port-Gentil,-0.7193,8.7815,73.8,85,100,9.44,GA,1659153773
523,Hatillo,18.4863,-66.8254,81.09,89,2,1.01,PR,1659153774
524,Skibbereen,51.55,-9.2667,62.11,96,100,12.46,IE,1659153777
525,Colonia Carlos Antonio López,-26.4,-54.7667,43.63,85,4,1.07,PY,1659153778
526,Funadhoo,6.15,73.2667,81.46,79,84,17.9,MV,1659153779
527,Sawtell,-30.3833,153.1,64.42,45,82,12.66,AU,1659153782
528,Setermoen,68.861,18.3486,57.43,73,24,4.29,NO,1659153784
529,Kharp,66.8014,65.8081,63.55,78,100,4.74,RU,1659153785
530,Lompoc,34.6391,-120.4579,68.14,84,100,9.22,US,1659153573
531,Izhma,65.0083,53.9113,74.75,55,33,3.38,RU,1659153788
532,Huittinen,61.1833,22.7,50.83,91,19,5.17,FI,1659153789
533,Gogrial,8.5332,28.1004,69.31,93,100,5.14,SS,1659153791
534,Lebanon,36.2081,-86.2911,77.22,84,20,0.0,US,1659153526
535,Ginir,7.1333,40.7,58.75,74,75,8.03,ET,1659153794
536,Almaznyy,48.0448,40.045,70.86,67,17,12.86,RU,1659153795
537,Tūkrah,32.5341,20.5791,77.63,85,0,5.91,LY,1659153796
538,Kulhudhuffushi,6.6221,73.07,80.94,80,55,16.67,MV,1659153798
539,Cilibia,45.0667,27.0667,68.09,78,48,6.87,RO,1659153800
540,Eureka,40.8021,-124.1637,59.25,88,89,1.01,US,1659153801
541,Ust-Kuyga,70.0167,135.6,68.54,44,99,10.13,RU,1659153803
542,Japura,-0.3167,102.35,83.26,69,71,4.38,ID,1659153804
543,Najībābād,29.6333,78.3333,81.45,84,98,7.4,IN,1659153806
544,Chilapa,22.032,-105.2317,77.94,83,79,1.12,MX,1659153807
545,Cartagena,10.3997,-75.5144,80.13,88,37,14.43,CO,1659153723
546,Alofi,-19.0595,-169.9187,77.25,82,10,21.59,NU,1659153811
547,Tsabong,-26.0217,22.401,52.81,36,66,9.64,BW,1659153812
548,Businga,3.3333,20.8833,68.45,98,87,2.17,CD,1659153815
549,Pouembout,-21.1333,164.9,70.29,88,100,12.17,NC,1659153816
550,Sabzawār,36.2126,57.6819,82.56,44,16,9.91,IR,1659153818
551,Vaitape,-16.5167,-151.75,79.27,71,3,22.01,PF,1659153819
552,Kloulklubed,7.0419,134.2556,81.1,73,99,14.09,PW,1659153821
553,Dubinino,55.6192,89.0911,73.49,60,27,4.9,RU,1659153822
554,Buta,2.7858,24.73,67.64,94,95,0.76,CD,1659153823
555,Sanmenxia,34.7747,111.1814,86.23,53,5,13.53,CN,1659153825
556,Ardabil,38.2498,48.2933,54.95,100,100,0.0,IR,1659153637
557,Uglovoye,44.8215,33.6045,75.02,64,0,11.81,UA,1659153828
558,Tecpan,14.7623,-90.9947,51.03,97,36,4.38,GT,1659153829
559,Séguéla,7.9611,-6.6731,69.91,83,99,4.05,CI,1659153830
560,Leningradskiy,69.3833,178.4167,45.43,74,100,7.49,RU,1659153832
